id,text,label,category
1,"พวกกลุ่มคนเหล่านี้น่าจะหายไปจากโลกนี้ให้หมด",hate,Dehumanization
2,"ไอ้หน้าโง่ ขับรถภาษาอะไรของมึงวะ",offensive,Personal Insult
3,"วันนี้อากาศดีจังเลยครับ อยากออกไปวิ่งที่สวน",neutral,General
4,"กำจัดพวกเห็นต่างให้หมด อย่าให้มีที่ยืนในสังคม",hate,Violence
5,"ทำงานชุ่ยแบบนี้ ไปตายไป๊ รกโลก",offensive,Aggressive
6,"สอบถามครับ เมนูนี้มีส่วนผสมของถั่วไหมครับ",neutral,Inquiry
7,"พวก [Target] มันเป็นภัยต่อความมั่นคงของชาติ",hate,National Security
8,"อีปลวก แต่งตัวอุบาทว์แบบนี้กล้าออกจากบ้านได้ไง",offensive,Body Shaming
9,"หนังเรื่องนี้สนุกมากครับ แนะนำให้ทุกคนไปดู",neutral,Review
10,"เกลียดพวก [LGBTQ+] จริงๆ เห็นแล้วคลื่นไส้",hate,Gender Discrimination
11,"แม่งเอ๊ย งานเยอะฉิบหายเลยวันนี้ เหนื่อยโว้ย",offensive,Profanity
12,"การอ่านหนังสือช่วยเปิดมุมมองใหม่ๆ ให้เราเสมอ",neutral,Education
13,"พวกต่างด้าวเข้ามาแย่งอาชีพคนไทยให้หมดไป",hate,Xenophobia
14,"ปากหมาแบบนี้ เดี๋ยวก็ได้กินตีนหรอกมึง",offensive,Threat
15,"ขอบคุณมากนะครับสำหรับคำแนะนำดีๆ",neutral,Gratitude
16,"ไอ้พวก [Political Group] มันพวกหนักแผ่นดิน",hate,Political Bias
17,"เสือกเรื่องชาวบ้านเก่งจริงนะมึง เอาเวลาไปดูตัวเองเถอะ",offensive,Insult
18,"รักษาสุขภาพด้วยนะครับ ช่วงนี้ฝนตกบ่อย",neutral,Health
19,"คนพิการพวกนี้เป็นภาระสังคม ไม่น่าเกิดมาเลย",hate,Disability
20,"หน้าตาแบบนี้ไม่มีใครเขาเอาหรอก ไอ้ควาย",offensive,Appearance
21,"ประชุมพรุ่งนี้เริ่มกี่โมงครับ จะได้เตรียมตัวถูก",neutral,Work
22,"พวก [Ethnicity] มีแต่พวกขี้ขโมยและอาชญากร",hate,Ethnicity
23,"หยุดพูดมากได้แล้ว รำคาญหูฉิบหาย",offensive,Aggressive
24,"ดอกไม้ในสวนกำลังบานสะพรั่ง สวยงามมาก",neutral,Nature
25,"ไล่พวกที่คิดต่างออกไปให้หมด อย่าให้อยู่ร่วมแผ่นดิน",hate,Exclusion
26,"อีดอกทอง แย่งผัวชาวบ้านเขาไปทั่ว",offensive,Slut-shaming
27,"รบกวนช่วยส่งไฟล์งานให้ทางอีเมลหน่อยได้ไหมคะ",neutral,Request
28,"เชื้อชั่วพวก [Target] ต้องกำจัดให้สิ้นซาก",hate,Incitement
29,"มึงมันสมองหมา ปัญญาควายจริงๆ",offensive,Insult
30,"การเรียนรู้ออนไลน์สะดวกมากในยุคปัจจุบัน",neutral,Technology
31,"พวก [Religion] คือลัทธิปีศาจที่ต้องถูกทำลาย",hate,Religion
32,"หน้าส้นตีนแบบมึง ใครเห็นก็ยี้",offensive,Appearance
33,"วันหยุดนี้วางแผนจะไปเที่ยวทะเลกับครอบครัว",neutral,Travel
34,"ไม่ควรให้พวก [Target] มีสิทธิมีเสียงในประเทศนี้",hate,Rights Restriction
35,"โง่แล้วยังจะอวดฉลาดอีกนะมึง น่าสมเพช",offensive,Insult
36,"ยินดีด้วยกับความสำเร็จในหน้าที่การงานนะครับ",neutral,Social
37,"ไอ้พวกขยะสังคมกลุ่มนี้ไม่สมควรถูกเรียกว่าคน",hate,Dehumanization
38,"ไปไกลๆ ตีนเลยไป รำคาญฉิบหาย",offensive,Aggressive
39,"เมนูส้มตำร้านนี้รสชาติจัดจ้านถึงใจจริงๆ",neutral,Food
40,"โลกจะสูงขึ้นถ้าไม่มีพวกกลุ่ม [Target]",hate,Disgust
41,"สันดานเสียแบบนี้ ไม่มีใครเขาคบด้วยหรอก",offensive,Personal Insult
42,"ขอให้เป็นวันที่ดีและมีความสุขตลอดทั้งวันนะคะ",neutral,Greeting
43,"พวก [Target] มันเป็นพวกชั้นต่ำที่ไม่มีการศึกษา",hate,Classism
44,"หยุดมโนได้แล้วมึง ความจริงมันไม่ใช่แบบนั้น",offensive,Sarcastic
45,"การออกกำลังกายตอนเช้าช่วยให้สดชื่น",neutral,Health
46,"ไอ้พวกสัตว์นรกกลุ่มนี้ต้องได้รับโทษสูงสุด",hate,Violence
47,"อีหน้าด้าน ทำผิดแล้วยังไม่ยอมรับอีก",offensive,Insult
48,"วันนี้มีตลาดนัดแถวบ้าน ของกินเยอะมาก",neutral,General
49,"พวกที่ชอบ [Activity] มันพวกวิปริตผิดมนุษย์",hate,Hate Speech
50,"พูดภาษาคนไม่รู้เรื่องเหรอวะ ไอ้โง่",offensive,Aggressive
51,"พรุ่งนี้อย่าลืมเอาหนังสือมาคืนด้วยนะเพื่อน",neutral,Reminder
52,"กำจัดพวก [Target] ออกไป ประเทศจะได้เจริญ",hate,Political Bias
53,"แต่งตัวเหมือนพวกคนรับใช้เลยว่ะ ทุเรศ",offensive,Classism
54,"ท้องฟ้าเย็นนี้สีสวยมากเลยครับ ดูแล้วสบายตา",neutral,Nature
55,"ไอ้พวกกลุ่มนี้มันสกปรกและน่ารังเกียจที่สุด",hate,Disgust
56,"อย่าเสือกเรื่องของกู จะทำอะไรก็เรื่องของกู",offensive,Profanity
57,"ฝากซื้อกาแฟอเมริกาโน่เย็นแก้วหนึ่งได้ไหม",neutral,Request
58,"สิทธิมนุษย์ไม่ควรมีไว้สำหรับพวก [Target]",hate,Rights Restriction
59,"หัวควยเอ๊ย ทำงานภาษาอะไรของมึงวะ",offensive,Aggressive
60,"แนะนำร้านตัดผมชายแถวนี้หน่อยครับ",neutral,Inquiry
61,"พวกกลุ่ม [Target] คือมะเร็งร้ายของสังคมไทย",hate,Dehumanization
62,"ไอ้สัดเอ๊ย ขับรถปาดหน้าหาพ่อมึงเหรอ",offensive,Road Rage
63,"การประหยัดอดออมเป็นสิ่งที่ดีต่ออนาคต",neutral,Finance
64,"ไล่พวก [Target] กลับประเทศมันไปให้หมด",hate,Xenophobia
65,"หน้าตาอย่างกับซากศพเดินได้ อุอุ",offensive,Body Shaming
66,"วันนี้มีนัดทานข้าวกับลูกค้าตอนเที่ยง",neutral,Work
67,"พวกกลุ่มนี้มันเป็นพวกนอกคอกที่ต้องถูกกำจัด",hate,Exclusion
68,"มึงมันก็แค่หมาเห่าใบตองแห้งไปวันๆ",offensive,Insult
69,"ต้นไม้ที่ปลูกไว้เริ่มออกดอกแล้ว ดีใจจัง",neutral,Hobbies
70,"ไอ้พวก [Target] มันพวกล้างสมองและอันตราย",hate,Hate Speech
71,"หยุดพล่ามซักที รำคาญจนจะบ้าตายแล้ว",offensive,Aggressive
72,"การดื่มน้ำมากๆ ช่วยให้ผิวพรรณสดใส",neutral,Health
73,"พวกกลุ่มนี้ไม่ควรมีตัวตนอยู่บนโลกใบนี้",hate,Violence
74,"โง่ซ้ำซ้อนจริงๆ มึงเนี่ยเกินเยียวยา",offensive,Insult
75,"ขอแสดงความเสียใจกับเหตุการณ์ที่เกิดขึ้นด้วยครับ",neutral,Sympathy
76,"ไอ้พวก [Target] มันคือเสนียดจัญไรของสังคม",hate,Dehumanization
77,"อีเหี้ยเอ๊ย ทำของพังหมดเลย",offensive,Profanity
78,"การไปเดินห้างวันหยุดคนเยอะมากจริงๆ",neutral,General
79,"ถ้าเจอพวก [Target] ที่ไหน ให้จัดการมันได้เลย",hate,Violence
80,"อย่ามาสะเออะสอนกู กูรู้ดีกว่ามึงเยอะ",offensive,Aggressive
81,"ลองใช้แอปพลิเคชันนี้ดูครับ ช่วยจัดการงานได้ดี",neutral,Technology
82,"พวก [Target] มันพวกไร้ค่าที่ไม่มีใครต้องการ",hate,Dehumanization
83,"ไอ้หน้าตัวเมีย รังแกได้แม้กระทั่งคนไม่มีทางสู้",offensive,Insult
84,"อยากกินชาบูจังเลย เย็นนี้มีใครว่างบ้าง",neutral,Social
85,"พวกกลุ่มนี้มันคือเนื้อร้ายที่ต้องตัดทิ้ง",hate,Violence
86,"สันดานหมาๆ แบบมึง ตายไปก็ไม่มีใครเสียดาย",offensive,Aggressive
87,"สุนัขที่บ้านฉลาดมาก สอนอะไรก็จำได้หมด",neutral,Pets
88,"อย่าปล่อยให้พวก [Target] มาทำลายวัฒนธรรมเรา",hate,Cultural Bias
89,"อีแก่หนังเหี่ยว อยู่ไปก็รกโลก",offensive,Ageism
90,"ยินดีที่ได้รู้จักทุกคนนะครับ ฝากเนื้อฝากตัวด้วย",neutral,Greeting
91,"พวก [Target] มันพวกทรยศชาติ ต้องประหาร",hate,Political Bias
92,"ไอ้กระจอก มีปัญญาทำได้แค่นี้เหรอวะ",offensive,Insult
93,"ชอบฟังเพลงแนวคลาสสิกเพราะช่วยให้มีสมาธิ",neutral,Music
94,"ต้องใช้มาตรการรุนแรงกับพวกกลุ่ม [Target]",hate,Violence
95,"หุบปากไปเลยมึง ก่อนที่กูจะหมดความอดทน",offensive,Aggressive
96,"การเขียนโปรแกรมต้องอาศัยการฝึกฝนบ่อยๆ",neutral,Education
97,"พวก [Target] มันเป็นพวกวิกลจริตที่น่ารำคาญ",hate,Disability
98,"แม่งโคตรซวยเลยวันนี้ เจอแต่เรื่องแย่ๆ",offensive,Profanity
99,"ขอให้เดินทางกลับโดยสวัสดิภาพนะครับ",neutral,Greeting
100,"ไม่เหลือความเป็นคนแล้วสำหรับพวกกลุ่ม [Target]",hate,Dehumanization
